,index,version,loss,accuracy,val_loss,val_accuracy
0,0.0,1,1.1035,0.7111,0.8258,0.767
1,1.0,1,0.6157,0.8186,0.7927,0.7788
2,2.0,1,0.4713,0.857,0.8475,0.7788
3,3.0,1,0.3874,0.8796,0.9117,0.7755
4,4.0,1,0.3299,0.8972,1.0158,0.7721
5,5.0,1,0.2907,0.9097,1.0897,0.771
6,6.0,1,0.2579,0.9208,1.183,0.7672
7,7.0,1,0.2348,0.9278,1.2807,0.7658
8,8.0,1,0.2134,0.935,1.3453,0.7639
9,9.0,1,0.1956,0.9396,1.4529,0.7619
10,,2,3.340280771255493,0.0407569147646427,3.2238426208496094,0.1048034951090812
11,,2,3.108538150787353,0.1149927228689193,3.0663161277771,0.1484716087579727
12,,2,2.935671806335449,0.1703056842088699,2.9537346363067627,0.1572052389383316
13,,2,2.7992422580718994,0.1906841397285461,2.8753669261932373,0.1877729296684265
14,,2,2.682256937026977,0.2343522608280182,2.8179473876953125,0.2008733600378036
15,,2,2.585070371627808,0.2678311467170715,2.771005153656006,0.2139738053083419
16,,2,2.4922680854797363,0.2867540121078491,2.7262632846832275,0.2314410507678985
17,,2,2.4080164432525635,0.3071324527263641,2.6984081268310547,0.2401746660470962
18,,2,2.3294389247894287,0.3551673889160156,2.6705639362335205,0.2707423567771911
19,,2,2.255950450897217,0.3697234392166137,2.6459693908691406,0.27947598695755
20,,3,3.308509111404419,0.0524017475545406,3.1614532470703125,0.0917030572891235
21,,3,3.1111555099487305,0.117903932929039,3.0305068492889404,0.1353711783885955
22,,3,2.9511704444885254,0.161572054028511,2.924429416656494,0.1746724843978881
23,,3,2.8143255710601807,0.2052401751279831,2.845433473587036,0.2183406054973602
24,,3,2.694218158721924,0.2445414811372757,2.788994073867798,0.2139738053083419
25,,3,2.5798981189727783,0.3027656376361847,2.7388241291046143,0.2445414811372757
26,,3,2.478935480117798,0.3435225486755371,2.7027745246887207,0.2751091718673706
27,,3,2.3920648097991943,0.3682678341865539,2.6710925102233887,0.27947598695755
28,,3,2.3116235733032227,0.3930130898952484,2.6536247730255127,0.2925764322280884
29,,3,2.237998485565185,0.3653566241264343,2.634546995162964,0.27947598695755
30,,4,3.2819268703460693,0.084425039589405,3.206552267074585,0.1048034951090812
31,,4,3.0839736461639404,0.1703056842088699,3.092868566513061,0.1921397447586059
32,,4,2.931459665298462,0.2241630256175995,3.0043466091156006,0.2008733600378036
33,,4,2.7961645126342773,0.2503638863563537,2.931863784790039,0.2401746660470962
34,,4,2.675679922103882,0.27947598695755,2.894750595092773,0.2576419115066528
35,,4,2.5691401958465576,0.3071324527263641,2.8575425148010254,0.2707423567771911
36,,4,2.4692721366882324,0.3289665281772613,2.8244125843048096,0.2707423567771911
37,,4,2.3760223388671875,0.3420669436454773,2.7996325492858887,0.27947598695755
38,,4,2.295269250869751,0.3682678341865539,2.791015625,0.27947598695755
39,,4,2.221762180328369,0.3726346492767334,2.771501064300537,0.2707423567771911
40,,5,3.31381630897522,0.0669577866792678,3.209790706634521,0.1353711783885955
41,,5,3.1066482067108154,0.1237263455986976,3.097214937210083,0.161572054028511
42,,5,2.9556474685668945,0.1717612743377685,3.0087759494781494,0.183406114578247
43,,5,2.8282320499420166,0.2125182002782821,2.9373269081115723,0.2183406054973602
44,,5,2.715139865875244,0.2489082962274551,2.876868724822998,0.2183406054973602
45,,5,2.6113991737365723,0.2751091718673706,2.8240506649017334,0.2532750964164734
46,,5,2.5153658390045166,0.3304221332073211,2.779733180999756,0.2576419115066528
47,,5,2.4213736057281494,0.3609898090362549,2.743123769760132,0.2576419115066528
48,,5,2.3359382152557373,0.3784570693969726,2.72058367729187,0.2576419115066528
49,,5,2.2544217109680176,0.4002911150455475,2.7058873176574707,0.2707423567771911
50,,6,3.312505960464477,0.0786026194691658,3.2294225692749023,0.087336242198944
51,,6,3.0882396697998047,0.1193595305085182,3.0891408920288086,0.1310043632984161
52,,6,2.9339938163757324,0.1673944741487503,3.0008790493011475,0.1703056842088699
53,,6,2.810401678085327,0.2066957801580429,2.943603277206421,0.1790392994880676
54,,6,2.700876235961914,0.2285298407077789,2.9039089679718018,0.1921397447586059
55,,6,2.6024200916290283,0.27947598695755,2.8684022426605225,0.235807865858078
56,,6,2.5102388858795166,0.3478893637657165,2.843325138092041,0.2576419115066528
57,,6,2.4243056774139404,0.3740902543067932,2.818619728088379,0.2445414811372757
58,,6,2.3437604904174805,0.395924299955368,2.8004469871521,0.2620087265968323
59,,6,2.268376350402832,0.411935955286026,2.7839362621307373,0.2707423567771911
60,,7,3.232075452804565,0.117903932929039,3.188814878463745,0.1746724843978881
61,,7,3.014901161193848,0.1775836944580078,3.064339399337769,0.1921397447586059
62,,7,2.8531241416931152,0.2125182002782821,2.9701077938079834,0.2096069902181625
63,,7,2.716548204421997,0.2547307014465332,2.9089810848236084,0.2227074205875396
64,,7,2.6012158393859863,0.2896652221679687,2.8589186668396,0.2445414811372757
65,,7,2.501685619354248,0.3114992678165436,2.818545341491699,0.2532750964164734
66,,7,2.410495519638061,0.3245997130870819,2.793414831161499,0.2532750964164734
67,,7,2.32734751701355,0.3464337587356567,2.771879911422729,0.2489082962274551
68,,7,2.2532272338867188,0.3580785989761352,2.7526304721832275,0.2532750964164734
69,,7,2.186272144317627,0.3682678341865539,2.7492854595184326,0.2532750964164734
